,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
126,kavieng,25,PG,1604779343,70,-2.57,150.8,82.44,7.74
127,itaituba,20,BR,1604779343,52,-4.28,-55.98,93.2,10.29
128,lagos,20,NG,1604779055,83,6.58,3.75,78.8,4.7
129,chapais,90,CA,1604779344,97,49.78,-74.85,32.0,8.05
130,castro,0,BR,1604779259,42,-24.79,-50.01,77.79,4.65
131,darhan,0,MN,1604779344,88,49.49,105.92,23.97,5.88
132,orlik,89,RU,1604779344,89,52.52,99.83,16.66,3.18
133,kokorevka,0,RU,1604779344,95,52.59,34.28,42.44,6.17
134,awbari,0,LY,1604779214,43,26.59,12.78,60.55,5.28
135,guerrero negro,30,MX,1604779212,60,27.98,-114.06,71.76,19.39
136,ambilobe,100,MG,1604779344,77,-13.2,49.05,75.27,4.54
137,kuzino,100,RU,1604779344,96,57.02,59.44,34.07,4.0
138,cherskiy,100,RU,1604779344,95,68.75,161.3,5.49,6.08
139,evensk,93,RU,1604779344,89,61.95,159.23,12.42,9.8
140,syriam,90,MM,1604779345,100,16.77,96.24,75.2,6.93
141,sambava,100,MG,1604779345,85,-14.27,50.17,75.38,11.12
142,touros,40,BR,1604779272,70,-5.2,-35.46,84.2,13.87
143,nantucket,1,US,1604779121,63,41.28,-70.1,66.2,12.75
144,rio gallegos,40,AR,1604779325,30,-51.62,-69.22,68.0,17.22
145,half moon bay,1,US,1604779345,66,37.46,-122.43,60.01,13.87
146,sault sainte marie,1,CA,1604779146,68,46.52,-84.33,64.4,11.41
147,vera cruz,92,BR,1604779345,64,-12.63,-41.03,79.5,4.59
148,mala,78,PE,1604779345,71,-12.66,-76.63,66.27,6.6
149,zirc,0,HU,1604779345,87,47.26,17.87,46.99,2.24
150,esperance,6,AU,1604779276,100,-33.87,121.9,55.4,6.93
151,angoche,0,MZ,1604779346,79,-16.23,39.91,78.3,14.52
152,manta,40,EC,1604779346,74,-0.95,-80.73,78.8,14.99
153,vao,68,NC,1604779346,75,-22.67,167.48,73.35,11.1
154,hermanus,0,ZA,1604779346,83,-34.42,19.23,60.01,8.99
155,bhikangaon,0,IN,1604779346,38,21.87,75.95,66.92,3.6
156,lorengau,25,PG,1604779346,72,-2.02,147.27,81.19,8.43
157,lundazi,1,ZM,1604779346,40,-12.29,33.18,75.42,9.86
